JOGO,RESULTADO,CORINTHIANS,GOL COR,GOL VIS,VISITANTE,DIA,CAMPEONATO,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12
1,D,Corinthians,0,1,Figueirense,18/05/2014,Brasileiro,Cassio,Fagner,Gil,Cleber,Fabio Santos,Ralf,Guilherme dos Santos,Renato Augusto,Jadson,Luciano,Guerrero,Romarinho,Danilo,Paulo Victor,,,,,,,,,
2,E,Corinthians,1,1,Botafogo,01/06/2014,Brasileiro,Walter,Fagner,Gil,Cleber,Fabio Santos,Ralf,Petros,Bruno Henrique,Jadson,Romarinho,Guerrero,Luciano,Renato Augusto,Ze Paulo,,,,,,,,,
3,V,Corinthians,2,1,Internacional,17/07/2014,Brasileiro,Cassio,Fagner,Gil,Cleber,Fabio Santos,Ralf,Elias,Petros,Jadson,Luciano,Guerrero,Romarinho,Bruno Henrique,Romero,,,,,,,,,
4,V,Corinthians,3,0,Bahia,23/07/2014,Copa do Brasil,Cassio,Fagner,Gil,Cleber,Fabio Santos,Ralf,Elias,Petros,Jadson,Romero,Guerrero,Romarinho,Renato Augusto,Luciano,,,,,,,,,
5,V,Corinthians,2,0,Palmeiras,27/07/2014,Brasileiro,Cassio,Fagner,Gil,Cleber,Fabio Santos,Ralf,Elias,Renato Augusto,Petros,Romero,Guerrero,Romarinho,Danilo,Luciano,,,,,,,,,
6,E,Corinthians,1,1,Bahia,16/08/2014,Brasileiro,Cassio,Fagner,Gil,Cleber,Fabio Santos,Ralf,Elias,Petros,Jadson,Romero,Guerrero,Renato Agusto,Romarinho,Luciano,,,,,,,,,
7,V,Corinthians,5,2,Goias,21/08/2014,Brasileiro,Cassio,Fagner,Gil,Anderson Martins,Fabio Santos,Ralf,Elias,Renato Augusto,Jadson,Romero,Guerrero,Luciano,Lodeiro,Bruno Henrique,,,,,,,,,
8,E,Corinthians,1,1,Fluminense,31/08/2014,Brasileiro,Cassio,Ferrugem,Gil,Anderson Martins,Fabio Santos,Ralf,Elias,Lodeiro,Jadson,Romero,Romarinho,Renato Agusto,Luciano,Fagner,,,,,,,,,
9,V,Corinthians,3,1,Bragantino,03/09/2014,Copa do Brasil,Cassio,Fagner,Felipe,Anderson Martins,Fabio Santos,Ralf,Bruno Henrique,Renato Augusto,Luciano,Romero,Romarinho,Jadson,Petros,Danilo,,,,,,,,,
10,V,Corinthians,1,0,Atletico MG,11/09/2014,Brasileiro,Cassio,Fagner,Gil,Anderson Martins,Fabio Santos,Ralf,Elias,Renato Augusto,Petros,Luciano,Romero,Guerrero,Malcom,Bruno Henrique,,,,,,,,,
11,E,Corinthians,1,1,Chapecoense,18/09/2014,Brasileiro,Cassio,Ferrugem,Gil,Felipe,Fabio Santos,Ralf,Elias,Luciano,Jadson,Malcom,Guerrero,Romero,Lodeiro,Bruno Henrique,,,,,,,,,
12,V,Corinthians,3,2,Sao Paulo,21/09/2014,Brasileiro,Cassio,Fagner,Gil,Anderson Martins,Fabio Santos,Ralf,Bruno Henrique,Renato Augusto,Danilo,Malcom,Guerrero,Luciano,Uendel,Romero,,,,,,,,,
13,V,Corinthians,2,0,Atletico MG,01/10/2014,Copa do Brasil,Cassio,Fagner,Gil,Anderson Martins,Fabio Santos,Elias,Bruno Henrique,Renato Augusto,Petros,Malcom,Guerrero,Danilo,Luciano,Romero,,,,,,,,,
14,V,Corinthians,3,0,Sport,04/10/2014,Brasileiro,Cassio,Fagner,Gil,Anderson Martins,Fabio Santos,Elias,Bruno Henrique,Renato Augusto,Petros,Malcom,Guerrero,Luciano,Danilo,Romero,,,,,,,,,
15,E,Corinthians,2,2,Coritiba,01/11/2014,Brasileiro,Cassio,Fagner,Gil,Anderson Martins,Uendel,Elias,Bruno Henrique,Renato Augusto,Danilo,Malcom,Luciano,Romero,Gustavo Tocantins,Jadson,,,,,,,,,
16,V,Corinthians,1,0,Santos,09/11/2014,Brasileiro,Cassio,Fagner,Gil,Felipe,Fabio Santos,Ralf,Elias,Renato Augusto,Petros,Malcom,Guerrero,Luciano,Danilo,Bruno Henrique,,,,,,,,,
17,V,Corinthians,1,0,Gremio,23/11/2014,Brasileiro,Cassio,Fagner,Gil,Felipe,Fabio Santos,Ralf,Elias,Renato Augusto,Petros,Malcom,Guerrero,Luciano,Danilo,Jadson,,,,,,,,,
18,V,Corinthians,2,1,Criciuma,06/12/2014,Brasileiro,Cassio,Fagner,Felipe,Anderson Martins,Fabio Santos,Ralf,Elias,Renato Augusto,Petros,Malcom,Guerrero,Danilo,Jadson,Bruno Henrique,,,,,,,,,
19,V,Corinthians,3,0,Corinthian-Casuals,24/01/2015,Amistoso,Cassio,Fagner,Gil,Felipe,Fabio Santos,Ralf,Elias,Renato Augusto,Lodeiro,Emerson,Guerrero,Edilson,Uendel,Jadson,Danilo,Bruno Henrique,Petros,Luciano,Mendoza,Jamie Byatt,,,
20,V,Corinthians,3,0,Marilia,01/02/2015,Paulista,Cassio,Fagner,Gil,Felipe,Fabio Santos,Ralf,Elias,Renato Augusto,Jadson,Emerson,Guerrero,Danilo,Luciano,Bruno Henrique,,,,,,,,,
21,V,Corinthians,4,0,Once Caldas,04/02/2015,Libertadores,Cassio,Fagner,Gil,Felipe,Fabio Santos,Ralf,Elias,Renato Augusto,Jadson,Emerson,Guerrero,Mendoza,Bruno Henrique,Edu Dracena,,,,,,,,,
22,V,Corinthians,2,1,Botafogo (Ribeirao Preto),14/02/2015,Paulista,Walter,Edilson,Yago,Edu Dracena,Fabio Santos,Cristian,Bruno Henrique,Petros,Luciano,Mendoza,Guerrero,Jadson,Malcom,Vagner Love,,,,,,,,,
23,V,Corinthians,2,0,Sao Paulo,18/02/2015,Libertadores,Cassio,Fagner,Gil,Felipe,Fabio Santos,Ralf,Elias,Renato Augusto,Jadson,Emerson,Danilo,Bruno Henrique,Malcom,Mendoza,,,,,,,,,
24,V,Corinthians,3,0,Mogi Mirim,01/03/2015,Paulista,Cassio,Edilson,Yago,Edu Dracena,Cristian,Petros,Mendoza,Malcom,Jadson,Vagner Love,Guerrero,Danilo,Luciano,Fagner,,,,,,,,,
25,V,Corinthians,1,0,Sao Bernardo (FC),11/03/2015,Paulista,Cassio,Edilson,Yago,Edu Dracena,Felipe,Cristian,Danilo,Petros,Luciano,Malcom,Vagner Love,Jadson,Ralf,Romero,,,,,,,,,
26,E,Corinthians,0,0,Red Bull,14/03/2015,Paulista,Cassio,Fagner,Gil,Felipe,Uendel,Ralf,Elias,Cristian,Jadson,Emerson,Guerrero,Vagner Love,Malcom,Luciano,,,,,,,,,
27,V,Corinthians,2,0,Portuguesa,24/03/2015,Paulista,Walter,Edilson,Yago,Felipe,Cristian,Bruno Henrique,Petros,Danilo,Luciano,Malcom,Vagner Love,Ralf,Fagner,Romero,,,,,,,,,
28,V,Corinthians,5,3,Penapolense,26/03/2015,Paulista,Cassio,Fagner,Yago,Edu Dracena,Uendel,Ralf,Petros,Renato Augusto,Jadson,Emerson,Guerrero,Vagner Love,Bruno Henrique,Malcom,,,,,,,,,
29,V,Corinthians,4,0,Danubio,01/04/2015,Libertadores,Cassio,Fagner,Gil,Felipe,Uendel,Ralf,Elias,Renato Augusto,Jadson,Emerson,Guerrero,Edu Dracena,Petros,Vagner Love,,,,,,,,,
30,E,Corinthians,1,1,Santos,05/04/2015,Paulista,Cassio,Fagner,Gil,Felipe,Uendel,Ralf,Elias,Renato Augusto,Jadson,Emerson,Guerrero,Vagner Love,Petros,,,,,,,,,,
31,V,Corinthians,1,0,Ponte Preta,11/04/2015,Paulista,Cassio,Fagner,Gil,Felipe,Uendel,Ralf,Elias,Renato Augusto,Jadson,Emerson,Vagner Love,Danilo,Mendoza,Bruno Henrique,,,,,,,,,
32,E,Corinthians,0,0,San Lorenzo,16/04/2015,Libertadores,Cassio,Fagner,Gil,Felipe,Uendel,Ralf,Elias,Renato Augusto,Jadson,Emerson,Vagner Love,Danilo,Mendoza,,,,,,,,,,
