JOGO,GOL,JOGADOR,ASSISTENCIA,MINUTO,TEMPO,SETOR,AREA,ESTILO,CAMISA,NUM CAMISA,TIT/RES,RESULTADO,PLACAR,ADVERSARIO,CAMPEONATO,DATA,DIA-SEMANA,HORARIO,LINK
2,1,Jadson,Fagner,25,1T,Norte,Fora,Pe Esquerdo,1,10,TIT,E,1 x 1,Botafogo (RJ),Brasileiro,01/06/2014,DOM,16:00,https://www.youtube.com/watch?v=uBZTPBOsYh4
3,2,Guerrero,Jadson,7,1T,Sul,Dentro,Pe Esquerdo,1,9,TIT,V,2 x 1,Internacional,Brasileiro,17/07/2014,QUI,19:30,https://www.youtube.com/watch?v=ueyaq-24FY8
3,3,Fagner,Luciano,10,1T,Sul,Dentro,Pe Direito,1,35,TIT,V,2 x 1,Internacional,Brasileiro,17/07/2014,QUI,19:30,https://www.youtube.com/watch?v=ueyaq-24FY8
4,4,Elias,Petros,18,1T,Sul,Dentro,Pe Direito,1,7,TIT,V,3 x 0,Bahia,Copa do Brasil,23/07/2014,QUA,22:00,https://www.youtube.com/watch?v=_qxlaXJ6Z64
4,5,Romero,Ralf,32,1T,Sul,Dentro,Cabeca,1,11,TIT,V,3 x 0,Bahia,Copa do Brasil,23/07/2014,QUA,22:00,https://www.youtube.com/watch?v=_qxlaXJ6Z64
4,6,Renato Augusto,(Penalti),90,2T,Norte,Dentro,Pe Direito,1,8,RES,V,3 x 0,Bahia,Copa do Brasil,23/07/2014,QUA,22:00,https://www.youtube.com/watch?v=_qxlaXJ6Z64
5,7,Guerrero,Elias,51,2T,Norte,Dentro,Pe Direito,1,9,TIT,V,2 x 0,Palmeiras,Brasileiro,27/07/2014,DOM,16:00,https://www.youtube.com/watch?v=v8YNki5duZQ
5,8,Petros,Elias,90+1,2T,Norte,Dentro,Pe Direito,1,40,TIT,V,2 x 0,Palmeiras,Brasileiro,27/07/2014,DOM,16:00,https://www.youtube.com/watch?v=v8YNki5duZQ
6,9,Gil,Guerrero,43,1T,Sul,Dentro,Cabeca,1,4,TIT,E,1 x 1,Bahia,Brasileiro,16/08/2014,SAB,21:00,https://www.youtube.com/watch?v=sJUSPUOvvTc
7,10,Guerrero,Jadson,22,1T,Sul,Dentro,Cabeca,1,9,TIT,V,5 x 2,Goias,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
7,11,Elias,X,65,2T,Norte,Dentro,Pe Direito,1,7,TIT,V,5 x 2,Goias,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
7,12,Luciano,Lodeiro,78,2T,Norte,Dentro,Cabeca,1,18,RES,V,5 x 2,Goias,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
7,13,Luciano,Jadson,85,2T,Norte,Fora,Pe Esquerdo,1,18,RES,V,5 x 2,Goias,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
7,14,Luciano,X,89,2T,Norte,Dentro,Pe Esquerdo,1,18,RES,V,5 x 2,Goias,Brasileiro,21/08/2014,QUI,19:30,https://www.youtube.com/watch?v=wxuubAKTJw4
8,15,Romarinho,Renato Augusto,74,2T,Norte,Dentro,Pe Esquerdo,1,31,TIT,E,1 x 1,Fluminense,Brasileiro,31/08/2014,DOM,16:00,https://www.youtube.com/watch?v=DfukbGx49Mw
9,16,Renato Augusto,Romarinho,4,1T,Sul,Dentro,Pe Direito,1,8,TIT,V,3 x 1,Bragantino,Copa do Brasil,03/09/2014,QUA,22:00,https://www.youtube.com/watch?v=bPw_kThZkdc
9,17,Ralf,Renato Augusto,15,1T,Sul,Dentro,Cabeca,1,5,TIT,V,3 x 1,Bragantino,Copa do Brasil,03/09/2014,QUA,22:00,https://www.youtube.com/watch?v=bPw_kThZkdc
9,18,Felipe,Renato Augusto,20,1T,Sul,Dentro,Cabeca,1,28,TIT,V,3 x 1,Bragantino,Copa do Brasil,03/09/2014,QUA,22:00,https://www.youtube.com/watch?v=bPw_kThZkdc
10,19,Petros,Romero,14,1T,Sul,Dentro,Pe Direito,2,40,TIT,V,1 x 0,Atletico MG,Brasileiro,11/09/2014,QUI,19:30,https://www.youtube.com/watch?v=uxrYvS9Ibvw
11,20,Malcom,Jadson,10,1T,Sul,Dentro,Pe Esquerdo,1,21,TIT,E,1 x 1,Chapecoense,Brasileiro,18/09/2014,QUI,19:30,https://www.youtube.com/watch?v=Nn_-ZtdTytw
12,21,Fabio Santos,(Penalti),36,1T,Sul,Dentro,Pe Esquerdo,1,6,TIT,V,3 x 2,Sao Paulo,Brasileiro,21/09/2014,DOM,16:00,https://www.youtube.com/watch?v=GfHhIms19ys
12,22,Fabio Santos,(Penalti),66,2T,Norte,Dentro,Pe Esquerdo,1,6,TIT,V,3 x 2,Sao Paulo,Brasileiro,21/09/2014,DOM,16:00,https://www.youtube.com/watch?v=GfHhIms19ys
12,23,Guerrero,Danilo,74,2T,Norte,Dentro,Pe Direito,1,9,TIT,V,3 x 2,Sao Paulo,Brasileiro,21/09/2014,DOM,16:00,https://www.youtube.com/watch?v=GfHhIms19ys
13,24,Guerrero,Renato Augusto,25,1T,Norte,Dentro,Cabeca,2,9,TIT,V,2 x 0,Atletico MG,Copa do Brasil,01/10/2014,QUA,22:00,https://www.youtube.com/watch?v=yidoIxdOUP8
13,25,Luciano,Guerrero,82,2T,Sul,Dentro,Pe Esquerdo,2,18,RES,V,2 x 0,Atletico MG,Copa do Brasil,01/10/2014,QUA,22:00,https://www.youtube.com/watch?v=yidoIxdOUP8
14,26,Anderson Martins,Renato Augusto,25,1T,Norte,Dentro,Cabeca,1,23,TIT,V,3 x 0,Sport,Brasileiro,04/10/2014,SAB,18:30,https://www.youtube.com/watch?v=ccOj_BtxFws
14,27,Guerrero,Luciano,73,2T,Sul,Dentro,Pe Esquerdo,1,9,TIT,V,3 x 0,Sport,Brasileiro,04/10/2014,SAB,18:30,https://www.youtube.com/watch?v=ccOj_BtxFws
14,28,Luciano,Danilo,90+3,2T,Sul,Fora,Pe Esquerdo,1,18,RES,V,3 x 0,Sport,Brasileiro,04/10/2014,SAB,18:30,https://www.youtube.com/watch?v=ccOj_BtxFws
15,29,Elias,Romero,46,2T,Norte,Dentro,Joelho D,1,7,TIT,E,2 x 2,Coritiba,Brasileiro,01/11/2014,SAB,21:30,https://www.youtube.com/watch?v=c9AQcDBNe5k
15,30,Bruno Henrique,Uendel,90+5,2T,Norte,Dentro,Cabeca,1,25,TIT,E,2 x 2,Coritiba,Brasileiro,01/11/2014,SAB,21:30,https://www.youtube.com/watch?v=c9AQcDBNe5k
16,31,Guerrero,Renato Augusto,7,1T,Sul,Dentro,Pe Esquerdo,2,9,TIT,V,1 x 0,Santos,Brasileiro,09/11/2014,DOM,19:30,https://www.youtube.com/watch?v=i0l9UbNqJaM
17,32,Guerrero,Luciano,83,2T,Sul,Dentro,Pe Esquerdo,1,9,TIT,V,1 x 0,Gremio,Brasileiro,23/11/2014,DOM,19:30,https://www.youtube.com/watch?v=i0l9UbNqJaM
18,33,Elias,Petros,26,1T,Sul,Dentro,Pe Direito,1,7,TIT,V,2 x 1,Criciuma,Brasileiro,06/12/2014,SAB,16:30,https://www.youtube.com/watch?v=h-qRoog_Mio
18,34,Fabio Santos,Renato Augusto,72,2T,Norte,Dentro,Pe Esquerdo,1,6,TIT,V,2 x 1,Criciuma,Brasileiro,06/12/2014,SAB,16:30,https://www.youtube.com/watch?v=h-qRoog_Mio
19,35,Danilo,Luciano,79,2T,Sul,Dentro,Pe Esquerdo,1,20,RES,V,3 x 0,Corinthian-Casuals (ING),Amistoso,24/01/2015,SAB,17:00,https://www.youtube.com/watch?v=hS1c3ibs9Yo
19,36,Luciano,Mendoza,90,2T,Sul,Dentro,Pe Direito,1,18,RES,V,3 x 0,Corinthian-Casuals (ING),Amistoso,24/01/2015,SAB,17:00,https://www.youtube.com/watch?v=hS1c3ibs9Yo
19,37,Luciano,Jadson,90+6,2T,Sul,Dentro,Pe Esquerdo,1,18,RES,V,3 x 0,Corinthian-Casuals (ING),Amistoso,24/01/2015,SAB,17:00,https://www.youtube.com/watch?v=hS1c3ibs9Yo
20,38,Renato Augusto,Jadson,11,1T,Sul,Dentro,Pe Direito,1,8,TIT,V,3 x 0,Marilia,Paulista,01/02/2015,DOM,17:00,https://www.youtube.com/watch?v=QqHTdsisOzk
20,39,Fagner,Renato Augusto,56,2T,Norte,Fora,Pe Direito,1,35,TIT,V,3 x 0,Marilia,Paulista,01/02/2015,DOM,17:00,https://www.youtube.com/watch?v=QqHTdsisOzk
20,40,Guerrero,Renato Augusto,59,2T,Norte,Dentro,Pe Direito,1,9,TIT,V,3 x 0,Marilia,Paulista,01/02/2015,DOM,17:00,https://www.youtube.com/watch?v=QqHTdsisOzk
21,41,Emerson,Guerrero,1,1T,Sul,Fora,Pe Direito,1,11,TIT,V,4 x 0,Once Caldas (COL),Libertadores,04/02/2015,QUA,22:00,https://www.youtube.com/watch?v=OdOqdMpaXkg
