JOGADOR,POSICAO,JOGOS,VITORIAS,EMPATES,DERROTAS,DESEMPENHO (%),GOLS,ASSISTENCIAS,TITULAR,RESERVA,SUBSTITUIDO,CAPITAO,CA,CV,JOGOS-BR,JOGOS-CP,JOGOS-CB,JOGOS-LIB,JOGOS-SA,JOGOS-AMI,GOLS NORTE,GOLS SUL,GOLS 1-T,GOLS 2-T,2 GOLS,3 GOLS,GOLS-PEN,PP,GOLS-FALTA,DA,FA,PE DIREITO,PE ESQUERDO,CABECA,GOLS CONTRA,GOLS (OUTROS)
CASSIO,GOL,174,107,48,19,"70,7",0,1,173,1,4,50,4,1,87,46,15,13,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAGNER,LD,161,101,42,18,"71,4",6,21,155,6,11,36,39,1,84,43,14,11,6,3,3,3,3,3,1,0,0,0,0,4,2,6,0,0,1,0
JADSON,MC,112,66,31,15,"68,2",24,31,86,26,47,6,16,1,64,22,9,8,6,3,16,8,10,14,1,0,7,2,4,15,9,21,3,0,0,0
ROMERO,ATA,103,63,27,13,"69,9",27,11,80,23,39,1,13,0,56,24,12,6,2,3,15,12,11,16,6,0,0,1,0,26,1,16,5,6,1,0
RALF,VOL,87,56,20,11,"72",4,4,77,10,12,26,8,0,51,17,9,6,2,2,2,2,1,3,0,0,0,0,0,2,2,2,0,2,0,0
PEDRINHO,MC,78,45,23,10,"67,5",6,8,47,31,27,0,8,1,38,19,7,5,7,2,5,1,2,4,0,0,0,0,0,2,4,0,6,0,0,0
RODRIGUINHO,MC,76,46,21,9,"69,7",14,14,72,4,21,14,10,0,42,19,5,6,2,2,8,6,7,7,1,0,0,1,0,11,3,4,6,4,0,0
GABRIEL,VOL,76,41,22,13,"63,6",1,1,71,5,22,3,17,2,39,19,6,3,6,3,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
GIL,ZAG,72,45,21,6,"72,2",4,0,72,0,0,10,13,0,47,11,3,6,3,1,1,3,3,1,0,0,0,0,0,4,0,1,0,3,0,0
MATEUS VITAL,MC,68,35,21,12,"61,8",2,1,34,34,23,0,3,0,35,17,6,4,3,3,1,1,0,2,0,0,0,0,0,2,0,1,0,1,0,0
