JOGO,RESULTADO,CORINTHIANS,GOL CORINTHIANS,GOL VISITANTE,VISITANTE,CIDADE DO VISITANTE,UF,PAIS,NUM-VISITANTE,NUM-UF,NUM-PAIS,DIA,MES,ANO,NUM-ANO,HORA,NUM-HORA,DIA/SEMANA,NUMERO-D/S,CAMPEONATO,NUM-CAMP,CAPITAO,TECNICO,TECNICO VISITANTE,PUBLICO,RENDA,CAMISA,SAIDA DE BOLA,1 TEMPO,2 TEMPO,ARTILHEIROS,ARTILHEIROS - VISITANTES,NUM-GOLS,PRIMEIRO GOL,GOL-SUL,GOL-NORTE,GOL VIS-SUL,GOL VIS-NORTE,GOL-1T,GOL-2T,GOL VIS-1T,GOL VIS-2T,ARBITRO,UF-ARBITRO,VAR
1,D,CORINTHIANS,0,1,FIGUEIRENSE,FLORIANOPOLIS,SC,BRA,1,1,1,18,5,14,1,16:00,1,DOM,1,BRASILEIRO,1,RALF,MANO MENEZES,GUTO FERREIRA,36.123,"3.029.801,70",1,COR,S,N,X,1 Giovanni Augusto,1,VIS,0,0,0,1,0,0,0,1,JAILSON MACEDO DE FREITAS,BA,NAO
2,E,CORINTHIANS,1,1,BOTAFOGO,RIO DE JANEIRO,RJ,BRA,1,1,2,1,6,14,2,16:00,2,DOM,2,BRASILEIRO,2,RALF,MANO MENEZES,VAGNER MANCINI,37.119,"2.616.819,50",1,COR,S,N,1 Jadson,1 Edilson,2,COR,0,1,0,1,1,0,0,1,LEANDRO PEDRO VUADEN,RS,NAO
3,V,CORINTHIANS,2,1,INTERNACIONAL,PORTO ALEGRE,RS,BRA,1,1,3,17,7,14,3,19:30,1,QUI,1,BRASILEIRO,3,RALF,MANO MENEZES,ABEL BRAGA,32.644,"2.556.385,50",1,VIS,N,S,"1 Guerrero, 1 Fagner",1 Claudio Winck,3,COR,2,0,1,0,2,0,0,1,WAGNER REWAY,MT,NAO
4,V,CORINTHIANS,3,0,BAHIA,SALVADOR,BA,BRA,1,1,4,23,7,14,4,22:00,1,QUA,1,COPA DO BRASIL,1,RALF,MANO MENEZES,MARQUINHOS SANTOS,24.252,"1.389.973,50",1,VIS,N,S,"1 Elias, 1 Romero, 1 Renato Augusto",X,3,COR,2,1,0,0,2,1,0,0,IGOR JUNIO BENEVENUTO,MG,NAO
5,V,CORINTHIANS,2,0,PALMEIRAS,SAO PAULO,SP,BRA,1,1,5,27,7,14,5,16:00,3,DOM,3,BRASILEIRO,4,RALF,MANO MENEZES,RICARDO GARECA,31.031,"2.206.184,00",1,VIS,N,S,"1 Guerrero, 1 Petros",X,2,COR,0,2,0,0,0,2,0,0,SANDRO MEIRA RICCI,PE,NAO
6,E,CORINTHIANS,1,1,BAHIA,SALVADOR,BA,BRA,2,2,6,16,8,14,6,21:00,1,SAB,1,BRASILEIRO,5,RALF,MANO MENEZES,GILSON KLEINA,31.014,"2.096.556,50",1,VIS,N,S,1 Gil,1 Kieza,2,VIS,1,0,0,1,1,0,1,0,ANDERSON DARONCO,RS,NAO
7,V,CORINTHIANS,5,2,GOIAS,GOIANIA,GO,BRA,1,1,7,21,8,14,7,19:30,2,QUI,2,BRASILEIRO,6,RALF,MANO MENEZES,RICARDO DRUBSCKY,26.486,"1.465.164,00",1,VIS,N,S,"1 Guerrero, 1 Elias, 3 Luciano","1 Thigo Mendes, 1 Jackson Souza",7,VIS,1,4,1,1,1,4,1,1,MARCELO DE LIMA HENRIQUE,RJ,NAO
8,E,CORINTHIANS,1,1,FLUMINENSE,RIO DE JANEIRO,RJ,BRA,1,2,8,31,8,14,8,16:00,4,DOM,4,BRASILEIRO,7,RALF,MANO MENEZES,CRISTOVAO BORGES,34.889,"2.519.703,00",1,COR,N,S,1 Romarinho,1 Fred,2,VIS,0,1,0,1,0,1,1,0,PAULO HENRIQUE DE GODOY BEZERRA,SC,NAO
9,V,CORINTHIANS,3,1,BRAGANTINO,BRAGANCA PAULISTA,SP,BRA,1,2,9,3,9,14,9,22:00,2,QUA,2,COPA DO BRASIL,2,RALF,MANO MENEZES,PC GUSMAO,27.817,"1.497.128,00",1,COR,N,S,"1 Renato Augusto, 1 Ralf, 1 Felipe",1 Guilherme Mattis,4,COR,3,0,1,0,3,0,0,1,VINICIUS FURLAN,SP,NAO
10,V,CORINTHIANS,1,0,ATLETICO MG,BELO HORIZONTE,MG,BRA,1,1,10,11,9,14,10,19:30,3,QUI,3,BRASILEIRO,8,RALF,MANO MENEZES,LEVIR CULPI,24.784,"1.335.654,50",2,VIS,N,S,1 Petros,X,1,COR,1,0,0,0,1,0,0,0,DEWSON FERNANDO SILVA,PA,NAO
11,E,CORINTHIANS,1,1,CHAPECOENSE,CHAPECO,SC,BRA,1,2,11,18,9,14,11,19:30,4,QUI,4,BRASILEIRO,9,RALF,MANO MENEZES,JORGINHO,25.537,"1.359.473,00",1,COR,N,S,1 Malcom,1 Ferrugem (GC),2,COR,1,0,1,0,1,0,0,1,FELIPE DUARTE VAREJAO,ES,NAO
12,V,CORINTHIANS,3,2,SAO PAULO,SAO PAULO,SP,BRA,1,3,12,21,9,14,12,16:00,5,DOM,5,BRASILEIRO,10,RALF,MANO MENEZES,MURICY RAMALHO,34.688,"2.405.986,50",1,VIS,N,S,"2 Fabio Santos, 1 Guerrero","1 Souza, 1 Edson Silva",5,VIS,1,2,0,2,1,2,2,0,LUIZ FLAVIO DE OLIVEIRA,SP,NAO
